Id,Pattern presented,Description,Source 1,Source 2,Publication Year,Field of origin,Source 1,Source 2,,,,,
Pattern001,Repair and Maintenance,"require companies to have customer-centric services, corresponding forward and reverse logistics, up-to-date product expertise, and fast learning and problem-solving capabilities",P2,,2019,Circular Economy,"Lüdeke-Freund, F., Gold, S., & Bocken, N. M. P. (2019). A Review and Typology of Circular Economy Business Model Patterns. Journal of Industrial Ecology, 23(1), 36–61. https://doi.org/10.1111/jiec.12763",#N/D,,,,,
Pattern002,Reuse and redistribution,"offering access to used prod- ucts, evaluating their market value, which might include slight enhancements or modifications, and creating a market place",P2,,2019,Circular Economy,"Lüdeke-Freund, F., Gold, S., & Bocken, N. M. P. (2019). A Review and Typology of Circular Economy Business Model Patterns. Journal of Industrial Ecology, 23(1), 36–61. https://doi.org/10.1111/jiec.12763",#N/D,,,,,
Pattern003,refurbishment and remanufacturing,"require combinations of the repair and maintenance and the reuse and redistribution capabilities and business model design options (e.g., in terms of value delivery processes)",P2,,2019,Circular Economy,"Lüdeke-Freund, F., Gold, S., & Bocken, N. M. P. (2019). A Review and Typology of Circular Economy Business Model Patterns. Journal of Industrial Ecology, 23(1), 36–61. https://doi.org/10.1111/jiec.12763",#N/D,,,,,
Pattern004,recycling,"The major forms of value creation related to this pattern are based on down- and upcycling. The former converts used materials into materi- als of lower value (e.g., turning clothing into stuffing), and the latter achieves higher-quality materials and improved function- ality",P2,,2019,Circular Economy,"Lüdeke-Freund, F., Gold, S., & Bocken, N. M. P. (2019). A Review and Typology of Circular Economy Business Model Patterns. Journal of Industrial Ecology, 23(1), 36–61. https://doi.org/10.1111/jiec.12763",#N/D,,,,,
Pattern005,cascading and repurposing,"It describes the iterative use of the energy and material contents of physical objects (e.g., a tree, coffee waste), leading to productive processes that are fed purely by external energy input (e.g., from the sun)",P2,,2019,Circular Economy,"Lüdeke-Freund, F., Gold, S., & Bocken, N. M. P. (2019). A Review and Typology of Circular Economy Business Model Patterns. Journal of Industrial Ecology, 23(1), 36–61. https://doi.org/10.1111/jiec.12763",#N/D,,,,,
Pattern006,organic feedstock,"Once all technically and economically feasible cascades are
used, organic residuals can be processed via biomass conver- sion (e.g., into liquid biofuels or other chemicals), composting (through bacteria and fungi), or anaerobic digestion, which is a “process in which microorganisms break down organic materials, such as food scraps, manure, and sewage sludge, in the absence of oxygen”",P2,,2019,Circular Economy,"Lüdeke-Freund, F., Gold, S., & Bocken, N. M. P. (2019). A Review and Typology of Circular Economy Business Model Patterns. Journal of Industrial Ecology, 23(1), 36–61. https://doi.org/10.1111/jiec.12763",#N/D,,,,,
Pattern007,Border Router Security Lockdown,"Apply tight, extended access control lists (ACLs) on the
border routers to secure the network traffic allowed in the
perimeter network and create and maintain security policy that identifies management activities.",P3,,2010,IT service management,"Da Silva, L. F., & E Abreu, F. B. (2010). An IT Infrastructure patterns approach to improve IT service management quality. Proceedings - 7th International Conference on the Quality of Information and Communications Technology, QUATIC 2010, 171–176. https://doi.org/10.1109/QUATIC.2010.34",#N/D,,,,,
Pattern008,Tiered Distribution,Tiered Distribution organizes the system infrastructure into a set of physical tiers to optimize server environments for specific operational requirements and system resource usage,P3,,2010,IT service management,"Da Silva, L. F., & E Abreu, F. B. (2010). An IT Infrastructure patterns approach to improve IT service management quality. Proceedings - 7th International Conference on the Quality of Information and Communications Technology, QUATIC 2010, 171–176. https://doi.org/10.1109/QUATIC.2010.34",#N/D,,,,,
Pattern009,Border switch security lockdown,similar to border security lockdown this pattern defines the security measures that should be applied to switches in the border zone to maximize security,P3,,2010,IT service management,"Da Silva, L. F., & E Abreu, F. B. (2010). An IT Infrastructure patterns approach to improve IT service management quality. Proceedings - 7th International Conference on the Quality of Information and Communications Technology, QUATIC 2010, 171–176. https://doi.org/10.1109/QUATIC.2010.34",#N/D,,,,,
Pattern010,Fault Tolerant Server,Use a server with redundant hardware components to minimize the impact of failures and provide free slots to allow the addition of new hardware components.,P3,,2010,IT service management,"Da Silva, L. F., & E Abreu, F. B. (2010). An IT Infrastructure patterns approach to improve IT service management quality. Proceedings - 7th International Conference on the Quality of Information and Communications Technology, QUATIC 2010, 171–176. https://doi.org/10.1109/QUATIC.2010.34",#N/D,,,,,
