ID,source,name,description,Related to BMC,BMC relation comes from article?
C106,S4,Management’s interest toward full automation,Automation type,adoption factors,No
C107,S4,Health and education,External population,adoption factors,No
C108,S4,Regulatory and public services,External population,adoption factors,No
C109,S4,Housing and service Infrastructure,External population,adoption factors,No
C123,S4,Flexible business system,Change in business and technical processes,adoption factors,No
C125,S4,Conduct of pilot study on new production/business processes,Change in business and technical processes,adoption factors,No
C135,S5,diversity and equal opportunities,Characteristic part of the social dimension,adoption factors,No
C136,S5,training and development,Characteristic part of the social dimension,adoption factors,No
C137,S5,health and safety,Characteristic part of the social dimension,adoption factors,No
C144,S6,Sustainabibility awareness,,adoption factors,No
C146,S6,Reconfiguration process,Characteristic part of the economic dimension,adoption factors,No
C149,S6,Flexible organization management,Characteristic part of the economic dimension,adoption factors,No
C153,S6,Business Practices (e.g. corruption and fairtrading),Characteristic part of the social dimension,adoption factors,No
C154,S6,"Environmental management (e.g. budget, certifications)",Characteristic part of the environmental dimension,adoption factors,No
C167,S7,"Sustainability leaders or champions promote cultural and structural transformation (e.g.: mindset, corporate culture, organizational processes, intangible investments, human resources policy, and organizational structure)",Sustainable qualifying criteria: value creation,adoption factors,No
C168,S7,New governance for decision making in the network is established (collective decision making structures),Sustainable qualifying criteria: value creation,adoption factors,No
C176,S7,Economic sustainability is a prerequisite (solutions shall enable economic value capture) [12],Sustainable qualifying criteria: value capture,adoption factors,No
C180,S7,Long term view is fundamental,Sustainable qualifying criteria: value transformation category,adoption factors,No
C187,S7,"Value transformation shall be considered to take into consideration the changes that a business model may suffer in order to adapt to external socio-economic or technological transitions (such as legislation, infrastructure) in a long-term period.",main ideas following qualifying criteria,adoption factors,No
C188,S8,"Governance systems ensuring transparency, accountability and collaboration",,adoption factors,No
C189,S8,"leadership building educational, communication and rewards capabilities into the organization",,adoption factors,No
C190,S8,leadership that questions business as usual by being open to new ideas and challenging others to adopt new ways of thinking,,adoption factors,No
C191,S8,leadership understanding the role of each player (stakeholders) and their interactions,,adoption factors,No
C193,S8,business plan is explicit in its sustainability vision,,adoption factors,No
C197,S8,"Organizations must be able to learn (e.g. challenging mental models, fostering fundamental change, engaging extensive collaborative activity, and in some cases, revisiting core assumptions about business and its purpose)",,adoption factors,No
C50,S2,"intangible resources, like team motivation, organizational culture, knowledge and change management",characteristic product of new construct for the BMC: adoption factors,adoption factors,Yes
C52,S3,learn sustainability measures to reduce waste and emissions,Characteristic mapped to Environmental stewardship-holistic environmental management-product stewardship,adoption factors,No
C62,S3,"Strategize to reduce waste, effluents and emissions",Characteristic mapped to process excelence-integrated vision and strategy-Pollution prevention,adoption factors,No
C63,S3,"Strategize to reduce waste, effluents and emissions through the value chain cycle",Characteristic mapped to process excelence-integrated vision and strategy-product stewardship,adoption factors,No
C64,S3,strategize to improve profits and quality of environment while engaging with stakeholders,Characteristic mapped to process excelence-integrated vision and strategy-sustainable development,adoption factors,No
C71,S3,emergence of advocates and change agents with ideas for waste reduction,Characteristic mapped to Sustainability-Oriented Culture-internal advocates and change agents-Pollution prevention,adoption factors,No
C74,S3,continuous education on reducing waste and emissions,Characteristic mapped to Sustainability-Oriented Culture-ongoing education and awareness-Pollution prevention,adoption factors,No
C75,S3,"continuous education on reducing waste and emissions throughout the life cycle including the internal firm, suppliers and retailrs",Characteristic mapped to Sustainability-Oriented Culture-ongoing education and awareness-product stewardship,adoption factors,No
C76,S3,publishing books and case studies on sustainable development in collaboration with other stakeholders,Characteristic mapped to Sustainability-Oriented Culture-ongoing education and awareness-sustainable development,adoption factors,No
C84,S4,Preparedness of the management to invest on latest design,Design improvement,adoption factors,No
C181,S7,"Consideration of changing social expectations (e.g.: laws, regulations)",Sustainable qualifying criteria: value transformation category,adoption factors,No
C182,S7,Consideration of changing infrastructure (e.g. transportation system),Sustainable qualifying criteria: value transformation category,adoption factors,No
C194,S8,business plan involves new practices and processes being implemented,,adoption factors,No
C195,S8,"business plan must be holistic integrating environmental, social and economic elements, integrating internal and external stakeholders ",,adoption factors,No
C198,S8,"organizations must therefore efficiently and effectively create, capture, harvest, shape and apply sustainability-related knowledge and insights",,adoption factors,No
C192,S8,leadership building multidisciplinary partnerships ,,adoption factors,No
C140,S5,employment creation,Characteristic part of the economic dimension,adoption factors,No
C174,S7,Society and nature are treated as stakeholders,Sustainable qualifying criteria: value delivery,adoption factors,No
C96,S4,Global warming,"Natural resources (air, water, land)",Cost structure,No
C97,S4,Land usage and transformation,"Natural resources (air, water, land)",Cost structure,No
C100,S4,Contribution to depletion of energy resources,Mineral and energy resources,Cost structure,No
C68,S3,focus on waste and emission reduction within the firm,Characteristic mapped to Sustainability-Oriented Culture-sustainability focused leadership-Pollution prevention,Cost structure,No
C69,S3,focus on waste and emission reduction within the entire lifecycle,Characteristic mapped to Sustainability-Oriented Culture-sustainability focused leadership-product stewardship,Cost structure,No
C95,S4,Release of water effluents and pollutants,"Natural resources (air, water, land)",Cost structure,No
C98,S4,Contribution to depletion of non-renewable energy resource,Mineral and energy resources,Cost structure,No
C99,S4,Contribution to depletion of minerals,Mineral and energy resources,Cost structure,No
C139,S5,charitable donations,Characteristic part of the social dimension,Cost structure,No
C175,S7,"Triple Bottom Line approach in measuring performance (some authors suggest a TRI-PROFIT - single indicator representing the net sum of cost and revenues as a result of activities of environmental, social and economic contexts) [13,36,38]",Sustainable qualifying criteria: value capture,Cost structure,No
C177,S7,Financial model reflects an appropriate distribution of economic costs and benefits among the stakeholders involved in the business model,Sustainable qualifying criteria: value capture,Cost structure,No
C178,S7,Consideration of environmental and social externalities (positive and negative) in the bottom line,Sustainable qualifying criteria: value capture,Cost structure,No
C21,S1,Fixed cost with clean production technologies.,Characteristic mapped to cost structure in BMC,Cost structure,Yes
C22,S1,Variable cost with acquisition of green materials and packing.,Characteristic mapped to cost structure in BMC,Cost structure,Yes
C46,S2,"reflecting financial changes made in other components of CBM, including the value of incentives for customers",Characteristic mapped to cost structure in BMC,Cost structure,Yes
C86,S4,Activity-based method of product pricing,Cost management,Cost structure,No
C87,S4,Costing system focusing on the identification of value adding and non-value adding activities,Cost management,Cost structure,No
C88,S4,Product cost fixed based on customer’s pricing,Cost management,Cost structure,No
C126,S5,Climate change and carbon emissions,Characteristic part of the environmental dimension,Cost structure,No
C155,S6,"Use of resources (e.g. renewables, water and wastes)",Characteristic part of the environmental dimension,Cost structure,No
C156,S6,Pollution,Characteristic part of the environmental dimension,Cost structure,No
C157,S6,"Dangerousness of input, output and wastes",Characteristic part of the environmental dimension,Cost structure,No
C196,S8,"sustainability must be measured, avoiding current accounting practices",,Cost structure,No
C127,S5,energy consumption,Characteristic part of the environmental dimension,Cost structure,No
C179,S7,Lower eco-burden (resource depletion and environmental pollution),Sustainable qualifying criteria: value capture,Cost structure,No
C158,S6,"Natural environmental (e.g. land use, development of rural areas)",Characteristic part of the environmental dimension,Cost structure,No
C28,S2,possibly virtualized through selling virtualized value proposition and delivering it also virtually,Characteristic mapped to the customer channels in BMC,Customer channels,Yes
C29,S2,"selling non-virtualized value propositions via virtual channels,",Characteristic mapped to the customer channels in BMC,Customer channels,Yes
C3,S1,Digital Channels,Characteristic mapped to the customer channels in BMC,Customer channels,Yes
C30,S2,communicating with customers virtually,Characteristic mapped to the customer channels in BMC,Customer channels,Yes
C61,S3,engage with local councils and other businesses to recycle urban waste,Characteristic mapped to Environmental stewardship-regenerative practices-sustainable development,Customer relationships,No
C73,S3,partnering with community and employees to restore the depleted environment,Characteristic mapped to Sustainability-Oriented Culture-internal advocates and change agents-sustainable development,Customer relationships,No
