Id,Pattern presented,Description,Source 1,Source 2,Pub Year,Field of origin,Adotion factors,Cost structure,Customer channels,Customer relations,Customer segment,Key activities,Key partners,Key resources,Revenue stream,Take-back system,Value proposition,Total
Pattern005,cascading and repurposing,"It describes the iterative use of the energy and material contents of physical objects (e.g., a tree, coffee waste), leading to productive processes that are fed purely by external energy input (e.g., from the sun)",P2,,2019,Circular Economy,0,0,0,0,0,1,1,0,1,1,1,5
Pattern215,?Inclusive Sourcing?,"Integrating local, low-income or less skilled suppliers into the supply chains of existing for-profit companies. This can require providing financial support and training opportunities to develop local suppliers? capabilities. ",P21,,2018,Sustainable business models,1,0,0,1,0,1,1,0,0,0,1,5
Pattern125,Business object fully realized by application layer pattern,"Business object is completely realized by data
objects. It is realized by at least one data object.",P12,,2011,EA,0,1,1,0,0,1,0,2,0,0,0,5
Pattern001,Repair and Maintenance,"require companies to have customer-centric services, corresponding forward and reverse logistics, up-to-date product expertise, and fast learning and problem-solving capabilities",P2,,2019,Circular Economy,1,0,0,0,0,0,1,0,1,1,0,4
Pattern205,?Co-Product Generation? ,"Using the by-products from product generation as input for additional products that can be used by the company itself or sold on the market. This allows reducing waste, optimizing material flows, and increasing revenues.",P21,,2018,Sustainable business models,0,0,0,0,0,1,1,0,0,1,1,4
Pattern206,?Industrial Symbiosis? ,"Employing a shared or cascaded use of resources, by-products, and waste materials among different actors on a commercial basis. Establishing inter-firm exchanges and linkages driven by the need to reduce virgin inputs, waste, and costs. This allows reducing waste and optimizing material flows among multiple organizations.",P21,,2018,Sustainable business models,0,0,0,0,0,1,1,0,0,1,1,4
Pattern051,Autonomous products/robots manufacturer,Produce and sell products that use digital technologies to independently perform services formerly conducted by humans,P8,,2016,Business Model Innovation,0,1,0,0,0,1,0,1,0,0,1,4
Pattern108,Fully automated business process pattern,"Business process is assigned to an application com-
ponent, which completely automates the process",P12,,2011,EA,0,1,1,0,0,1,0,1,0,0,0,4
Pattern207,?Online Waste Exchange Platform? ,"Creating an electronic marketplace for waste that matches supply and demand, enabling the exchange of waste between actors and retaining the value contained in materials. Companies providing such services gain earnings from commissions on transactions. ",P21,,2018,Sustainable business models,0,0,0,1,0,1,0,1,0,0,1,4
Pattern214,?Green Supply Chain Management? ,Sourcing raw inputs and components in the most eco-friendly way possible and reducing or even eliminating toxic inputs. Suppliers are urged to commit to green supply chain management. Partners and networks are crucial for green supply chains.,P21,,2018,Sustainable business models,1,0,0,0,0,1,1,0,0,0,1,4
Pattern137,Single application layer business object realization pattern Identification:,"In comparison to the single business object real-
ization pattern, this pattern refers only to realizations at the application layer. The pattern is not a specialization of the single business object realization pattern nor vice versa (see Fig. 10). If a business object is realized a single time, it can be realized with a concrete representation or a data object. On the other hand, if a business object has a single application layer realization, it may or may not also have concrete realizations.",P12,,2011,EA,0,1,1,0,0,0,0,2,0,0,0,4
Pattern003,refurbishment and remanufacturing,"require combinations of the repair and maintenance and the reuse and redistribution capabilities and business model design options (e.g., in terms of value delivery processes)",P2,,2019,Circular Economy,0,0,0,0,0,0,1,0,1,1,0,3
Pattern109,Partially automated business process pattern Identification:,"A business process corresponds to the partially automated business process pattern if it is not fully automated and one or both of the following are true: (1) business process uses at least one application service, (2) at least one of its behaviour subele- ments is assigned to an application component (is fully automated) or uses an application service.",P12,,2011,EA,0,1,1,0,0,0,0,1,0,0,0,3
Pattern116,Fully supported business process pattern Identification:,"Business process is fully supported if (1) it is
either assigned to at least one business role or application component, or if (2) every one of its behaviour subele- ments is assigned to at least one business role or application component.",P12,,2011,EA,0,1,1,0,0,0,0,1,0,0,0,3
Pattern119,Full redundant business process automation pattern,Business process corresponds to the full redundant business process automation pattern if it is assigned to more than one application component or if it is fully automated and at least one of its behaviour subelements is assigned to more than one application component,P12,,2011,EA,0,0,1,0,0,1,0,1,0,0,0,3
Pattern212,?Take Back Management? ,Implementing channels and management systems to recover products or parts from customers and distributors. This allows bringing back products or parts to manufacturers.,P21,,2018,Sustainable business models,0,0,0,0,0,1,0,0,0,1,1,3
Pattern213,?Upgrading? ,Replacing outdated components that are part of products in use with technologically superior or updated components. This allows using working products as long as possible.,P21,,2018,Sustainable business models,1,0,0,0,0,1,0,0,0,0,1,3
Pattern393,Revenue sharing,Share the revenues with other companies in order to create a symbiotic relationship,P20,P1,2017,Business model innovation,0,0,0,1,0,0,1,0,0,1,0,3
Pattern446,Internal use ofdata*,Use available data internally to develop new offerings,P1,,2018,Business model innovation,1,0,0,0,0,1,0,0,0,0,1,3
Pattern047,Usage-extending distributor ,"First, these actors distribute smartphones that can be used over a long period of time, including models of sustainable manufacturers. Second, the business model enables longer use of a device by either the same or a different user through complementary offers",P7,,2019,Sustainable business models,0,0,0,0,0,1,1,0,0,0,1,3
